id;title;price;promo_price;url;city
3810370;Шапка Uniglodis светодиодная с подвижными ушками розовая;286;1687;https://www.detmir.ru/product/index/id/3810370/;SPB
4310756;Рюкзак Fluffy Family Зайка;968;1019;https://www.detmir.ru/product/index/id/4310756/;SPB
3785358;Шапка Uniglodis с подвижными ушами Обезьянка Uniglodis;251;1678;https://www.detmir.ru/product/index/id/3785358/;SPB
3492041;Игрушка-грелка Warmies Large Marshmallow Мишка;2312;2890;https://www.detmir.ru/product/index/id/3492041/;SPB
3699371;Сумочка Fluffy Family Лама;968;1019;https://www.detmir.ru/product/index/id/3699371/;SPB
4825028;Мягкая игрушка рюкзак BalaToys Киси Миси;800;1000;https://www.detmir.ru/product/index/id/4825028/;SPB
4813378;Подушка Спайк BrawlStars Диаметр 25 см;985;1699;https://www.detmir.ru/product/index/id/4813378/;SPB
3668510;Сумочка Fluffy Family Щенок Fluffy Family;797;839;https://www.detmir.ru/product/index/id/3668510/;SPB
3492022;Игрушка-грелка Warmies Large Marshmallow Ленивец;2312;2890;https://www.detmir.ru/product/index/id/3492022/;SPB
4674271;Игрушка мягкая Штучки к которым тянутся ручки Утка;699;969;https://www.detmir.ru/product/index/id/4674271/;SPB
4512501;Браслет Acoola 2 шт;350;539;https://www.detmir.ru/product/index/id/4512501/;SPB
4052957;Шапка Uniglodis Светодиодная с подвижными ушками Цыплёнок;276;1846;https://www.detmir.ru/product/index/id/4052957/;SPB
3492048;Совенок-грелка Warmies Снежный;2312;2890;https://www.detmir.ru/product/index/id/3492048/;SPB
3492020;Игрушка-грелка Warmies Large Лисичка;2312;2890;https://www.detmir.ru/product/index/id/3492020/;SPB
3344240;Подушка-антистресс Штучки к которым тянутся ручки Хомяк Бежевый 16асп09ив-6;499;;https://www.detmir.ru/product/index/id/3344240/;SPB
3344245;Игрушка мягкая Штучки к которым тянутся ручки Зайка антистресс Сиреневый 18аси32ив-2;599;679;https://www.detmir.ru/product/index/id/3344245/;SPB
3492013;Игрушка-грелка Warmies Large Петух;1095;2190;https://www.detmir.ru/product/index/id/3492013/;SPB
3892463;Шапка Uniglodis С подвижными ушками Собачка голубая Uniglodis;261;1745;https://www.detmir.ru/product/index/id/3892463/;SPB
3489343;Набор Тутси Русалка плед подушка резинка для волос плюш тиффани;2400;;https://www.detmir.ru/product/index/id/3489343/;SPB
3489344;Набор Тутси Русалка плед подушка резинка для волос плюш бежевый;2400;;https://www.detmir.ru/product/index/id/3489344/;SPB
4674270;Игрушка мягкая Штучки к которым тянутся ручки тянутся ручки Голубь;499;699;https://www.detmir.ru/product/index/id/4674270/;SPB
3344229;Подушка-антистресс Штучки к которым тянутся ручки Розовый 14аств01ив-10;519;589;https://www.detmir.ru/product/index/id/3344229/;SPB
4126100;Шапка Uniglodis Светодиодная с подвижными ушками Коала цвет голубой;263;1756;https://www.detmir.ru/product/index/id/4126100/;SPB
3897946;Мини-сумочка TY Кениа Страус 95213;879;999;https://www.detmir.ru/product/index/id/3897946/;SPB
3492008;Игрушка-грелка Warmies Large Панда;2312;2890;https://www.detmir.ru/product/index/id/3492008/;SPB
4813379;Подушка Примо BrawlStars Диаметр 25 см;900;1699;https://www.detmir.ru/product/index/id/4813379/;SPB
4906840;Мягкая игрушка-рюкзак Panawealth International Хагги Вагги Киси Миси Розовый;598;;https://www.detmir.ru/product/index/id/4906840/;SPB
4907350;Игрушка Кощей Меч кладенец из EVA;799;;https://www.detmir.ru/product/index/id/4907350/;SPB
3492036;Игрушка-грелка Warmies Large Лев;2312;2890;https://www.detmir.ru/product/index/id/3492036/;SPB
4748006;Игрушка- рюкзак ПЛЮШЛЕНД Ленивец 50 см;1316;2632;https://www.detmir.ru/product/index/id/4748006/;SPB
4553129;Мягкая игрушка-рюкзак Bebelot Тигрёнок 40 см;683;1519;https://www.detmir.ru/product/index/id/4553129/;SPB
4052951;Шапка Uniglodis Светодиодная с подвижными ушками Минни Маус цвет розовый;290;1937;https://www.detmir.ru/product/index/id/4052951/;SPB
4055858;Шапка Uniglodis Светодиодная с подвижными ушками Зайчик коричневый;372;1862;https://www.detmir.ru/product/index/id/4055858/;SPB
3777719;Шапка Uniglodis с подвижными ушами Обезьянка;253;1687;https://www.detmir.ru/product/index/id/3777719/;SPB
3222976;Игрушка мягкая Fancy Сердце пайетки LV1037;369;;https://www.detmir.ru/product/index/id/3222976/;SPB
3970926;Игрушка-подушка СмолТойс Котенок на шею В65 Смолтойс;800;;https://www.detmir.ru/product/index/id/3970926/;SPB
4052984;Сумка BUDI BASA Лори Колори Юки белая LRB-04;2040;2550;https://www.detmir.ru/product/index/id/4052984/;SPB
4047204;Шапка Uniglodis Светодиодная с подвижными ушками Мордашка с бантиком цвет белый;331;1952;https://www.detmir.ru/product/index/id/4047204/;SPB
4050307;Игрушка-грелка Мякиши детская с вишнёвыми косточками Монстрик Кис для новорожденных;449;599;https://www.detmir.ru/product/index/id/4050307/;SPB
3198187;Сумочка Laffi Почеширский кот 161;699;1299;https://www.detmir.ru/product/index/id/3198187/;SPB
4310757;Рюкзак Fluffy Family Коала 28 см;901;949;https://www.detmir.ru/product/index/id/4310757/;SPB
3785361;Шапка Uniglodis с подвижными ушами Страшила;272;1815;https://www.detmir.ru/product/index/id/3785361/;SPB
4047389;Шапка Uniglodis Светодиодная с подвижными ушками Хомяк цвет розовый;272;1815;https://www.detmir.ru/product/index/id/4047389/;SPB
4310755;Рюкзак Fluffy Family Единорог;721;759;https://www.detmir.ru/product/index/id/4310755/;SPB
3492062;Игрушка-грелка Warmies Junior Дракончик;1512;1890;https://www.detmir.ru/product/index/id/3492062/;SPB
3344234;Игрушка мягкая Штучки к которым тянутся ручки Заяц антистресс Розовый 15аси23мив-1;449;499;https://www.detmir.ru/product/index/id/3344234/;SPB
4050309;Игрушка-грелка Мякиши детская с вишнёвыми косточками Монстрик Упс для новорожденных;449;599;https://www.detmir.ru/product/index/id/4050309/;SPB
3777913;Подушка Умные сны полиция машина blue Умные сны;899;1499;https://www.detmir.ru/product/index/id/3777913/;SPB
4299717;Шапка Ripoma Светодиодная с подвижными ушками Корпорация монстров Салливан;263;1756;https://www.detmir.ru/product/index/id/4299717/;SPB
3344257;Игрушка мягкая Штучки к которым тянутся ручки Клубника антистресс Малиновый 19аси46ив;1139;;https://www.detmir.ru/product/index/id/3344257/;SPB
3777716;Шапка Uniglodis с подвижными ушами Коала розовая;263;1756;https://www.detmir.ru/product/index/id/3777716/;SPB
4674285;Игрушка мягкая Штучки к которым тянутся ручки Бегемот в майке Желтый;1259;1799;https://www.detmir.ru/product/index/id/4674285/;SPB
3935549;Подушка для путешествий Laffi Единорог MF992723-E;1299;;https://www.detmir.ru/product/index/id/3935549/;MOSCOW
3935548;Подушка для путешествий Laffi Динозавр MF992723-C;1299;;https://www.detmir.ru/product/index/id/3935548/;MOSCOW
